Date,Name,Year,Letterboxd URI
2025-10-06,Election,1999,https://boxd.it/1YEc
2025-10-06,About Schmidt,2002,https://boxd.it/26mU
2025-10-07,Raging Bull,1980,https://boxd.it/28yI
2025-10-07,Angel's Egg,1985,https://boxd.it/1LeA
2025-10-07,Detachment,2011,https://boxd.it/2BiY
2025-10-07,The Virgin Suicides,1999,https://boxd.it/28JG
2025-10-07,In the Mouth of Madness,1994,https://boxd.it/26vi
2025-10-07,Wedding in Galilee,1987,https://boxd.it/GHA
2025-10-09,Two Sleepy People,2025,https://boxd.it/U1qq
2025-10-09,Szamanka,1996,https://boxd.it/2Q14
2025-10-10,How Tasty Was My Little Frenchman,1971,https://boxd.it/3zvo
2025-10-13,Citizen Kane,1941,https://boxd.it/71O
2025-10-17,Day for Night,1973,https://boxd.it/28kG
2025-10-17,Shoot the Piano Player,1960,https://boxd.it/285w
2025-10-17,Dag 1,1997,https://boxd.it/HjFC
2025-10-19,Entergalactic,2022,https://boxd.it/CPN4
2025-10-20,Milk,2008,https://boxd.it/1WZC
2025-10-20,Rushmore,1998,https://boxd.it/1TAO
2025-10-24,A Brighter Summer Day,1991,https://boxd.it/1Luy
2025-10-26,Maurice,1987,https://boxd.it/1tZy
2025-10-29,Fire of Love,2022,https://boxd.it/yoPY
2025-10-29,Kajillionaire,2020,https://boxd.it/jJDY
2025-11-02,When the Light Breaks,2024,https://boxd.it/LTvw
2025-11-04,Bugonia,2025,https://boxd.it/qeWY
2025-11-05,Elite Squad,2007,https://boxd.it/20YI
2025-11-06,Altered States,1980,https://boxd.it/1TBi
2025-11-09,Son of Saul,2015,https://boxd.it/b6r4
2025-11-10,The Color of Pomegranates,1969,https://boxd.it/1u94
2025-11-13,Chilsu and Mansu,1988,https://boxd.it/7BPe
2025-11-13,The Night Eats the World,2018,https://boxd.it/gmgQ
2025-11-15,Mississippi Masala,1991,https://boxd.it/Ywg
2025-11-15,Monsoon Wedding,2001,https://boxd.it/2aiM
2025-11-15,The Namesake,2006,https://boxd.it/1JJG
2025-11-17,Sugar Glass Bottle,2022,https://boxd.it/wazy
2025-11-17,The Chicken,2020,https://boxd.it/rjg6
2025-11-19,Wendy and Lucy,2008,https://boxd.it/1Zx2
2025-11-19,The Aviator,2004,https://boxd.it/26BU
2025-11-22,"Joachim, Put It in the Machine",1974,https://boxd.it/6UjY
2025-11-23,Get Carter,1971,https://boxd.it/28HU
2025-11-24,Wicked: For Good,2025,https://boxd.it/AyfK
2025-11-25,Penumbria,2016,https://boxd.it/gtG2
2025-11-29,Bring It On,2000,https://boxd.it/28x6
2025-11-30,The Daytrippers,1996,https://boxd.it/F9i
2025-12-02,Heart Attack,2015,https://boxd.it/c6uu
2025-12-03,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG
2025-12-08,Enemy,2013,https://boxd.it/5xtO
2025-12-08,Prisoners,2013,https://boxd.it/4E5i
2025-12-08,Polytechnique,2009,https://boxd.it/1AMG
2025-12-08,Leave No Traces,2021,https://boxd.it/tFwO
2025-12-08,Lesson of a Dead Language,1979,https://boxd.it/eEus
2025-12-15,Shithouse,2020,https://boxd.it/nCFc
2025-12-15,Cha Cha Real Smooth,2022,https://boxd.it/uF8E
2025-12-16,Grey Gardens,1975,https://boxd.it/1INM
2025-12-18,Heaven's Gate,1980,https://boxd.it/1V2k
2025-12-18,King of New York,1990,https://boxd.it/1Ynq
2025-12-18,New Rose Hotel,1998,https://boxd.it/1BVY
2025-12-18,The Funeral,1996,https://boxd.it/1BC8
2025-12-18,Daddy Longlegs,2009,https://boxd.it/kNQ
2025-12-18,Body Snatchers,1993,https://boxd.it/23UE
2025-12-21,No Ghosts on Good Street,2025,https://boxd.it/T2vE
2025-12-21,Echo,2023,https://boxd.it/J1YK
2025-12-21,Education,2016,https://boxd.it/hH8K
2025-12-21,A Beautiful Wildflower Meadow,2022,https://boxd.it/D1ii
2025-12-26,The Remains of the Day,1993,https://boxd.it/291A
2025-12-26,Sling Blade,1996,https://boxd.it/1RRo
2025-12-26,Cape Fear,1991,https://boxd.it/28vu
2025-12-29,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2025-12-29,Man on the Moon,1999,https://boxd.it/281k
2025-12-30,The Prestige,2006,https://boxd.it/293w
2025-12-30,Memento,2000,https://boxd.it/2bcK
